time,latitude,longitude,depth,mag,magType,nst,gap,dmin,rms,net,id,updated,place,type,horizontalError,depthError,magError,magNst,status,locationSource,magSource
2022-03-31T10:16:21.967Z,-22.6538,170.7397,10,5.1,mb,,101,3.042,1.08,us,us7000gyp3,2022-04-27T14:00:04.040Z,southeast of the Loyalty Islands,earthquake,4,1.8,0.096,35,reviewed,us,us
2022-03-31T09:38:05.043Z,-22.4878,170.7358,10,4.4,mb,,120,3.043,1.07,us,us7000gzvn,2022-04-28T09:06:51.040Z,southeast of the Loyalty Islands,earthquake,10.3,1.9,0.203,7,reviewed,us,us
2022-03-31T09:09:25.786Z,-22.3038,170.3081,10,4.4,mb,,187,2.664,0.77,us,us7000gzvk,2022-04-28T09:09:32.040Z,"264 km ESE of Tadine, New Caledonia",earthquake,9.6,1.9,0.169,11,reviewed,us,us
2022-03-31T09:07:04.870Z,-22.4846,170.131,10,4.3,mb,,163,2.485,0.64,us,us7000gzvi,2022-04-07T07:40:16.040Z,"254 km ESE of Tadine, New Caledonia",earthquake,9.9,1.9,0.201,9,reviewed,us,us
2022-03-31T08:53:32.992Z,-22.8507,170.4337,10,4.2,mb,,111,2.768,0.35,us,us7000gzvm,2022-04-27T06:51:20.040Z,southeast of the Loyalty Islands,earthquake,8.9,1.9,0.167,14,reviewed,us,us
2022-03-31T07:46:18.699Z,-22.5229,170.4522,10,4.4,mb,,118,2.779,0.53,us,us7000gzvz,2022-04-27T07:06:11.040Z,"286 km ESE of Tadine, New Caledonia",earthquake,4.8,1.9,0.155,16,reviewed,us,us
2022-03-31T07:41:38.108Z,-22.3651,170.0337,10,4.7,mb,,82,2.405,0.89,us,us7000gynm,2022-04-27T06:08:38.040Z,"240 km ESE of Tadine, New Caledonia",earthquake,6.9,1.8,0.112,24,reviewed,us,us
2022-03-31T07:29:38.135Z,-22.6125,170.4424,10,4.4,mb,,108,2.768,0.4,us,us7000gzvc,2022-04-27T06:39:10.040Z,"289 km ESE of Tadine, New Caledonia",earthquake,10.4,1.7,0.169,13,reviewed,us,us
2022-03-31T07:22:01.025Z,-22.5452,170.1161,10,5.1,mb,,83,2.468,0.5,us,us7000gyng,2022-04-27T06:20:55.040Z,"255 km ESE of Tadine, New Caledonia",earthquake,7.6,1.8,0.084,46,reviewed,us,us
2022-03-31T07:09:46.730Z,-22.2574,170.6888,10,4.4,mb,,244,3.02,0.41,us,us7000gzvw,2022-04-27T07:25:06.040Z,southeast of the Loyalty Islands,earthquake,11.8,2,0.179,13,reviewed,us,us
